DatasetFor,Type,Dataset Title,JHURL,schemeID,file_title
Infrastructure - Delhi Police,Scheme,Union budget data for Infrastructure - Delhi Police (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-infrastructure-delhi-police,P21,
Research,Scheme,Union budget data for Research (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-research,P39,
Shashastra Seema Bal,Scheme,Union budget data for Shashastra Seema Bal (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-shashastra-seema-bal,P7,
Special Protection Group,Scheme,Union budget data for Special Protection Group (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-special-protection-group,P11,
SRE and Special Infrastructure Scheme for LWE Areas,Scheme,Union budget data for SRE and Special Infrastructure Scheme for LWE Areas (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-sre-and-special-infrastructure-scheme-for-lwe-areas,P41,
Swadhar Greh,Scheme,Union budget data for Swadhar Greh (2016-17 to 2020-21),https://justicehub.in/dataset/groups/union-budget-data-for-swadhar-greh,W5,
Ujjawala,Scheme,Union budget data for Ujjawala (2016-17 to 2020-21),https://justicehub.in/dataset/groups/union-budget-data-for-ujjawala,W6,
Women Helpline,Scheme,Union budget data for Women Helpline (2016-17 to 2020-21),https://justicehub.in/dataset/groups/union-budget-data-for-women-helpline,W3,
Working Women Hostel,Scheme,Union budget data for Working Women Hostel (2016-17 to 2020-21),https://justicehub.in/dataset/groups/union-budget-data-for-working-women-hostel,W7,
Supreme Court of India,Scheme,Union budget data for Supreme Court of India (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-supreme-court-of-india,L37,
Jails,Scheme,Union budget data for Jails (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-jails,H1,
SAMARTHYA,Scheme,Union budget data for SAMARTHYA (2021-22 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-samarthya,W11,
SAMBAL,Scheme,Union budget data for SAMBAL (2021-22 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-sambal,W10,
Indian Cyber Crime Coordination Centre,Scheme,Union budget data for Indian Cyber Crime coordination center (2019-20 to 2021-22),https://justicehub.in/dataset/groups/union-budget-data-for-indian-cyber-crime-coordination-center,P27,
Maintenance and Border Check Post,Scheme,Union budget data for Border Check Post (2016-17 to 2022-23),https://justicehub.in/dataset/union-budget-data-for-border-check-post,P18,
Capital Outlay,Scheme,Union budget data for Capital Outlay - Border Infrastructure and Management (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-capital-outlay-border-infrastructure-and-management,P19,
Administration of Justice,Scheme Category,Union budget data for Administration of Justice (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-administration-of-justice,L23,
Grants-in-aid to State Governments - Law and Justice,Scheme Category,Union budget data for Grants-in-aid to State Governments - Law and Justice (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-grants-in-aid-to-state-governments-law-and-justice,L31,
Grants-in-aid to Union Territory Governments - Law and Justice,Scheme Category,Union budget data for Grants-in-aid to Union Territory Governments - Law and Justice (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-grants-in-aid-to-union-territory-governments-law-and-justice,L32,
Grants-in-aid to State Governments - Police,Scheme Category,Union budget data for Grants-in-aid to State Governments - Police (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-grants-in-aid-to-state-governments-police,P49,
Grants-in-aid to Union Territory Governments - Police,Scheme Category,Union budget data for Grants-in-aid to Union Territory Governments - Police (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-grants-in-aid-to-union-territory-governments-police,P50,
Mission VATSALYA,Scheme,Union budget data for Mission VATSALYA (2021-22 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-mission-vatsalya,W13,
Child Protection Scheme,Scheme,Union budget data for Child Protection Scheme (2016-17 to 2020-21),https://justicehub.in/dataset/groups/union-budget-data-for-child-protection-scheme,W12,
